###################################################
Cluster 1
Word	#Occurence
'perdition'	3
'capsizing'	3
'sloping'	3
'diameter'	3
'giants'	3
'request'	3
'verbally'	3
'decently'	3
'hostile'	3
'natur'	3
'gor'	3
'sheer'	3
'tents'	3
'idleness'	3
'repeatedly'	3
'life''s'	3
'notorious'	3
'rivers'	3
'genius'	3
'mundane'	3
'usurpation'	3
'sculpture'	3
'twos'	3
'mountainous'	3
'dazzling'	3
'narrowly'	3
'recognition'	3
'effectually'	3
'gore'	3
'writers'	3
'withal'	3
'leo'	3
'subterraneous'	3
'johnson'	3
'miserably'	3
'shop'	3
'gladness'	3
'egypt'	3
'impenetrable'	3
'gallied'	3
'horribly'	3
'sundry'	3
'impatiently'	3
'nod'	3
'forbear'	3
'unfrequently'	3
'width'	3
'flying-fish'	3
'laughs'	3
'iron-bound'	3
'dramatic'	3
'vulture'	3
'sanity'	3
'accordance'	3
'concert'	3
'actively'	3
'concentric'	3
'paying'	3
'firmness'	3
'tanning'	3
'uncivilized'	3
'metropolitan'	3
'skrimshander'	3
'deaf'	3
'ship-board'	3
'substantiated'	3
'substantial'	3
'brick'	3
'grenadier'	3
'lakes'	3
'undulated'	3
'sea-coal'	3
'collectively'	3
'distress'	3
'perishing'	3
'tallow'	3
'variety'	3
'dominion'	3
'guise'	3
'preparation'	3
'lionel'	3
'mexico'	3
'pitiful'	3
'buckskin'	3
'repairing'	3
'contour'	3
'cities'	3
'april'	3
'gothic'	3
'illinois'	3
'unrelieved'	3
'cologne'	3
'intermediate'	3
'frightful'	3
'diet'	3
'rokovoko'	3
'aries'	3
'constantinople'	3
'misty'	3
'pilot-cloth'	3
'humanity'	3
'labrador'	3
'l100,000'	2
'sustaining'	2
'gayer'	2
'saturn'	2
'i''m'	2
'wheat'	2
'keys'	2
'exhale'	2
'corn'	2
'valiantly'	2
'siberia'	2
'democratic'	2
'ground-tier'	2
'narwhales'	2
'admirably'	2
'spotless'	2
'centaurs'	2
'enlist'	2
'subtlety'	2
'marvel'	2
'archangelic'	2
'provide'	2
'icelandic'	2
'overspreading'	2
'davy'	2
'dissect'	2
'european'	2
'men-of-war'	2
'lent'	2
'clusters'	2
'triumphal'	2
'button'	2
'blacks'	2
'gayhead'	2
'tilted'	2
'three-years'	2
'tweezers'	2
'fainting'	2
'thorns'	2
'promotion'	2
'thunderbolts'	2
'cathedrals'	2
'cheap'	2
'ninety-six'	2
'magnificent'	2
'eight-and-forty'	2
'tinkers'	2
'oughts'	2
'whale-lines'	2
'building'	2
'meddle'	2
'professions'	2
'brilliant'	2
'brandy'	2
'plowdon'	2
'parched'	2
'winsome'	2
'unresting'	2
'information'	2
'darkened'	2
